SIRET,Date de labellisation
57213300700144,11/12/2014
33518515300012,26/12/2014
48304492100011,28/1/2015
33578220700013,30/1/2015
30887574900035,30/1/2015
34905002100022,27/2/2015
34582029400014,7/4/2015
03732059500020,21/4/2015
37826992200050,20/5/2015
38361630700013,22/5/2015
38361630700013,22/5/2015
97150286900037,29/5/2015
39772959100016,9/6/2015
52772723000025,29/6/2015
32290299000017,16/7/2015
31527063700012,14/8/2015
40278304700036,24/9/2015
95580206100270,30/10/2015
30582580400027,30/10/2015
38853243400015,13/11/2015
38251081600038,16/12/2015
49168011200019,21/12/2015
39331404200051,21/12/2015
58210775100031,22/12/2015
38833806300018,12/1/2016
31620394200024,14/1/2016
37645002900016,17/1/2016
33258749200031,20/1/2016
37967510100024,20/1/2016
39973186800010,28/1/2016
63850041300049,3/2/2016
91642033400127,3/2/2016
75371892300026,3/2/2016
40315475000018,13/6/2017
77545321000046,17/3/2016
63622022000017,10/4/2016
48768155300045,10/4/2016
58575081300040,25/4/2016
37897020600025,13/6/2016
40470198900034,20/6/2016
43777366600122,13/7/2016
1575153000013,19/7/2016
32810477300010,14/9/2016
44916448200027,23/9/2016
32135524000037,5/10/2016
57215120700022,5/12/2016
38136495900027,12/12/2016
35016912400020,28/12/2016
79890273000018,2/1/2017
42433296300018,27/2/2017
35142103700018,3/3/2017
41047202100014,3/3/2017
38348790700024,15/5/2017
42488126600078,16/5/2017
38341491900027,30/5/2017
39926197300016,13/6/2017
34312758500036,19/7/2017
42143784900019,28/7/2017
85580259100021,2/8/2017
35020513400025,20/9/2017
35302694100024,3/10/2017
34465626900075,4/10/2017
30647461000020,7/11/2017
53273732700025,19/12/2017
50133013800014,10/1/2018
06220022500019,10/1/2018
31945020100037,10/1/2018
8558149400029,10/1/2018
75129661700036,10/1/2018
35181524600019,12/1/2016
528 596 497 00016,12/1/2016
41954485300049,1/2/2018
33863506300047,27/3/2018
74572113400013,18/4/2018
44461097600011,5/6/2018
39968565000018,19/7/2018
62162092100026,25/7/2018
82758926800016,30/8/2018
44448499200029,26/9/2018
38274643600023,5/10/2018
91552062100052,18/10/2018
48035321800021,25/10/2018
74562027800010,10/12/2018
40476584400026,4/1/2019
38233895200023,10/1/2019
89578037700027,25/1/2019
34201072500022,5/3/2019
31525575200018,19/4/2019
34954336300023,28/8/2019
35309884100029,23/9/2019
37934015100081,1/10/2019
39956993800026,4/10/2019
42625002300014,4/11/2019
01715010300046,20/11/2019
43390249100029,22/11/2019
77563811700033,10/12/2019
38092733500030,12/12/2019
49334553200029,12/12/2019
5420021700013,16/12/2019
32867805700022,19/12/2019
43695002600027,16/1/2020
34989119200024,17/1/2020
30048291600032,4/2/2020
52977758300053,5/2/2020
78826729200043,7/2/2020
33779606400059,12/2/2020
43523314300039,19/3/2020
38848978300018,23/4/2020
51049325700016,1/7/2020
30088211500078,30/7/2020
51217542300015,31/8/2020
34768107400048,7/9/2020
44461361600028,18/9/2020
80976041600010,21/10/2020
57850209800010,22/10/2020
41031726700038,7/12/2020
42384213700014,9/12/2020
77558681100132,4/1/2021
37598007500028,22/1/2021
44978663100019,22/1/2021
38219585700018,12/2/2021
37638001000011,16/2/2021
30942263200021,24/3/2021
39420218800063,12/4/2021
33929379700033,16/4/2021
63850210400042,21/4/2021
55850337100178,17/5/2021
38204469100030,19/5/2021
51311797800033,30/6/2021
34984417500019,30/6/2021
41523042400020,30/6/2021
30055861600011,19/7/2021
41452729100036,23/7/2021
34505228600027,25/8/2021
45015773000026,26/8/2021
78972600700014,30/8/2021
45620239900048,20/9/2021
53078000600017,6/10/2021
38023057300020,29/10/2021
73182014800039,13/12/2021
53303039100015,13/12/2021
33985193300020,10/1/2022
61980411500027,10/1/2022
30322950400020,17/1/2022
33405277600039,18/1/2022
32177464800026,20/1/2022
39946423900017,31/1/2022
50043831200026,3/2/2022
52875804800011,28/2/2022
41011163700055,28/2/2022
95750287000021,28/2/2022
52425386100016,28/2/2022
"
95000399600044",28/2/2022
"
480 057298 0014
",28/2/2022
47924424600019,24/3/2022
74562103700050,31/3/2022
40116220100024,25/4/2022
83964261800020,23/5/2022
53053214200037,20/6/2022
40119370100026,27/6/2022
32732331700013,19/7/2022
40770460000029,26/7/2022
32379068300037,22/8/2022
80968125700014,5/9/2022
49949540600021,6/9/2022
82140786300025,15/9/2022
353 821 044 00131,23/9/2022
34159403400017,10/10/2022
75720010000027,21/11/2022
41374797300043,7/12/2022
92618003500012,12/12/2022
35333323000012,14/12/2022
753660315 00031,19/12/2022
32872594000030,20/12/2022
347 464 240 000 63,4/1/2023
34061091400038,5/1/2023
805 243 722 000 24,1/2/2023
08608029800010,27/3/2023
49343990500032,17/3/2023
38390742500029,27/2/2023
4230530660910,16/3/2023
39526901200054,9/3/2023
33185949600019,19/4/2023
33383300200012,1/4/2023
38307362400033,29/4/2023
00000907951925,18/7/2023
40588005500059,21/8/2023
315335349,10/10/2023
0457508170001,4/10/2023
59850064300013,11/10/2023
414 203 620 000 94,19/10/2023
83094262900056,6/10/2023
42969802000014,17/10/2023
"44358355400029
et
443 583 554 00045",10/11/2023
53886674000011,16/11/2023
50989657700012,27/11/2023
38863525200033,12/1/2024
34924131500010,22/1/2024
399 779 438 000 31,31/1/2024
88359637100012,8/3/2024
322 950 817 000 13,1/3/2024
53516941100043,3/4/2024
41025252900084,11/4/2024
4008655900012,24/5/2024
53844935600020,16/5/2024
75297248900021,16/5/2024
78417326200030,16/5/2024
50468563700028,16/5/2024
84502116100029,21/6/2024
884983255,11/7/2024
70692021200018,16/7/2024
33999052500026,19/7/2024
44412577700052,22/7/2024
50902294300013,24/7/2024
52008240500025,29/8/2024
51880245900041,2/9/2024
47946348100040,30/7/2024
06820068200018,1/10/2024
31968932900021,17/10/2024
30491543200021,11/10/2024
34795652600037,19/11/2024
31453979200015,29/10/2024
38466458700035,14/11/2024
42352009700027,14/11/2024
49698022800027,14/11/2024
42169149400023,5/11/2024
38791777600099,4/12/2024
52929577600015,11/12/2024
39428016800011,11/12/2024
82384713200029,11/12/2024
53844948900029,23/12/2024
48511501800015,23/12/2024
534455118,23/12/2024
421528605,23/12/2024
421321399,23/12/2024
833369655,23/12/2024
400326211,10/1/2025
34184205200027,28/1/2025
450 544 754 00028,17/1/2025
500427604 00037,17/1/2025
86180097700022,17/2/2025
380 222 133 000 49,23/4/2025
41867174900038,16/4/2025
79746103500025,22/4/2025
91357170900025,27/5/2025
480725738,22/5/2025
38107778300029,8/7/2025
82106484700030,24/7/2025
34446504200036,25/7/2025
31838176100036,29/7/2025
40806109100042,22/7/2025
83919443800017,25/8/2025
31149225000064,4/9/2025
38866963200035,8/9/2025
3051517710048,10/10/2025
47998353800030,14/10/2025
80378260600021,10/9/2025
90003265700026,13/10/2025
88548029300079,20/10/2025
384726600,13/11/2025
49086449300013,13/11/2025
43161282900033,27/10/2025
31788691900032,18/11/2025
34249639500027,4/12/2025
44171650300020,4/12/2025
30489141900026,10/12/2025
82038874200018,11/12/2025
53453178500028,10/12/2025
31837834600049,18/12/2025
402 970 925 000 36,23/12/2025
52812658400010,28/1/2026